Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
Random Forest,Original,Tuned,0.65,0.8575006993985173,0.8210996371755512,0.6577682861719167,0.9153046062407132,0.5133333333333333,0.8788966559607028,0.7993127147766323,0.9760805707091901,0.5627626530239357
AdaBoost,Original,Baseline,0.35,0.852507168834802,0.48925481440133967,0.5634541984732825,0.3947192513368984,0.9841666666666666,0.3846671149966375,0.9678510998307953,0.2400335711288292,0.7578285420944558
AdaBoost,Original,Baseline,0.4,0.852507168834802,0.6466648060284678,0.6278659611992945,0.48501362397820164,0.89,0.6636556854410202,0.9044170890658942,0.5241292488459924,0.7626392459297343
AdaBoost,Original,Baseline,0.45,0.852507168834802,0.7574658107730952,0.6895319757056092,0.6035021888680425,0.8041666666666667,0.801007556675063,0.8815524193548387,0.7339488040285355,0.7540240662603532
AdaBoost,Original,Baseline,0.5,0.852507168834802,0.7970974044097126,0.6845986984815619,0.714027149321267,0.6575,0.8504422958239045,0.8341404358353511,0.8673940411246328,0.668077900084674
AdaBoost,Original,Baseline,0.55,0.852507168834802,0.7725369801842031,0.5939212755356253,0.7385377942998761,0.49666666666666665,0.8420236479937973,0.7824207492795389,0.9114561477129669,0.5314785090065989
AdaBoost,Original,Baseline,0.6,0.852507168834802,0.7516048004465532,0.4105960264900662,1.0,0.25833333333333336,0.8426449787835927,0.7280782157042469,1.0,0.30332681017612523
AdaBoost,Original,Baseline,0.65,0.852507168834802,0.6957856544794865,0.16793893129770993,1.0,0.09166666666666666,0.8138661202185792,0.6861503023322776,1.0,0.1120162932790224
AdaBoost,Original,Tuned,0.35,0.852507168834802,0.48925481440133967,0.5634541984732825,0.3947192513368984,0.9841666666666666,0.3846671149966375,0.9678510998307953,0.2400335711288292,0.7578285420944558
AdaBoost,Original,Tuned,0.4,0.852507168834802,0.6466648060284678,0.6278659611992945,0.48501362397820164,0.89,0.6636556854410202,0.9044170890658942,0.5241292488459924,0.7626392459297343
AdaBoost,Original,Tuned,0.45,0.852507168834802,0.7574658107730952,0.6895319757056092,0.6035021888680425,0.8041666666666667,0.801007556675063,0.8815524193548387,0.7339488040285355,0.7540240662603532
AdaBoost,Original,Tuned,0.5,0.852507168834802,0.7970974044097126,0.6845986984815619,0.714027149321267,0.6575,0.8504422958239045,0.8341404358353511,0.8673940411246328,0.668077900084674
AdaBoost,Original,Tuned,0.55,0.852507168834802,0.7725369801842031,0.5939212755356253,0.7385377942998761,0.49666666666666665,0.8420236479937973,0.7824207492795389,0.9114561477129669,0.5314785090065989
AdaBoost,Original,Tuned,0.6,0.852507168834802,0.7516048004465532,0.4105960264900662,1.0,0.25833333333333336,0.8426449787835927,0.7280782157042469,1.0,0.30332681017612523
AdaBoost,Original,Tuned,0.65,0.852507168834802,0.6957856544794865,0.16793893129770993,1.0,0.09166666666666666,0.8138661202185792,0.6861503023322776,1.0,0.1120162932790224
XGBoost,Original,Baseline,0.35,0.8632516785564415,0.7130895897292772,0.6611733684904416,0.5468920392584514,0.8358333333333333,0.7512100677637947,0.8873642081189251,0.6512798992866136,0.7559541754597527
XGBoost,Original,Baseline,0.4,0.8632516785564415,0.7306726207089032,0.6727704306544592,0.5671812464265295,0.8266666666666667,0.7711643348351909,0.8865866957470011,0.6823331934536299,0.757367537028554
XGBoost,Original,Baseline,0.45,0.8632516785564415,0.7449065029305052,0.6801959412176347,0.586248492159228,0.81,0.7878365831012071,0.8815584415584415,0.712127570289551,0.7525549705791267
XGBoost,Original,Baseline,0.5,0.8632516785564415,0.7574658107730952,0.6852589641434262,0.6060217809096733,0.7883333333333333,0.8027241770715097,0.874381800197824,0.7419219471254721,0.7435937745637479
XGBoost,Original,Baseline,0.55,0.8632516785564415,0.7630477253698018,0.6835631755497578,0.6183412002697235,0.7641666666666667,0.8106178898059335,0.8652380952380953,0.7624842635333613,0.7297469361769855
XGBoost,Original,Baseline,0.6,0.8632516785564415,0.7764443204018978,0.6886902448503692,0.6453022578295703,0.7383333333333333,0.8256041802743305,0.857918552036199,0.7956357532522031,0.7176413413251256
XGBoost,Original,Baseline,0.65,0.8632516785564415,0.7873290538654758,0.6942215088282504,0.6695046439628483,0.7208333333333333,0.8369704749679076,0.8537756438236578,0.8208140998741082,0.7099474720945502
XGBoost,Original,Tuned,0.35,0.8872989229262834,0.8043538933854312,0.7230343737653101,0.6874530428249437,0.7625,0.8487594390507012,0.8734458259325044,0.8254301300881242,0.7462077964442995
XGBoost,Original,Tuned,0.4,0.8872989229262834,0.8297516048004465,0.7441275167785235,0.7491554054054054,0.7391666666666666,0.8724383103304056,0.8695289704043352,0.8753671842215694,0.7411430481283422
XGBoost,Original,Tuned,0.45,0.8872989229262834,0.8439854870220486,0.7555749890686488,0.7948482060717571,0.72,0.8854273416683747,0.8653846153846154,0.9064204783885859,0.733820281977238
XGBoost,Original,Tuned,0.5,0.8872989229262834,0.8518001674574379,0.7600542250338906,0.8302073050345509,0.7008333333333333,0.8927922471229558,0.8603112840466927,0.9278220730172052,0.7233786340959918
XGBoost,Original,Tuned,0.55,0.8872989229262834,0.8529165503767793,0.7501185395922239,0.8701870187018702,0.6591666666666667,0.8957880166106387,0.8470456245325355,0.9504825849769198,0.6927658083727448
XGBoost,Original,Tuned,0.6,0.8872989229262834,0.8490092101590846,0.7351933431228586,0.8908659549228944,0.6258333333333334,0.8943978137809877,0.8361313868613138,0.9613932018464121,0.6654261917419813
XGBoost,Original,Tuned,0.65,0.8872989229262834,0.8277979346915992,0.6740623349181194,0.9206349206349206,0.5316666666666666,0.882988810923573,0.8055363321799308,0.9769198489299202,0.5807391225195704
LightGBM,Original,Baseline,0.35,0.8739001958315848,0.7273234719508791,0.6691500169319337,0.5636052481460354,0.8233333333333334,0.7680987419890815,0.8841530054644808,0.6789760805707092,0.7538531970090036
LightGBM,Original,Baseline,0.4,0.8739001958315848,0.7432319285514931,0.6751412429378532,0.5857843137254902,0.7966666666666666,0.78772496538994,0.8749359302921579,0.7163239613932019,0.7431592039800995
LightGBM,Original,Baseline,0.45,0.8739001958315848,0.7596985766117779,0.6847308678139875,0.6107119529719138,0.7791666666666667,0.8058624577226606,0.8708576998050682,0.7498950902224087,0.7384299478755331
LightGBM,Original,Baseline,0.5,0.8739001958315848,0.7792352777002511,0.6972828166858017,0.6447275300778486,0.7591666666666667,0.8262683944651877,0.8668202764976959,0.7893411665967268,0.7331401899243521
LightGBM,Original,Baseline,0.55,0.8739001958315848,0.7881663410549818,0.7017681728880157,0.6639405204460966,0.7441666666666666,0.8357498376974681,0.8628239499553172,0.8103231221149811,0.726606997558991
LightGBM,Original,Baseline,0.6,0.8739001958315848,0.7987719787887245,0.709156918112142,0.6872556684910086,0.7325,0.8461702581608705,0.8606770833333334,0.8321443558539656,0.7229807534133904
LightGBM,Original,Baseline,0.65,0.8739001958315848,0.8088194250627966,0.7163561076604554,0.7119341563786008,0.7208333333333333,0.8558198274047569,0.8585304054054054,0.8531263113722198,0.7190357439733999
LightGBM,Original,Tuned,0.35,0.8824723737585676,0.8227742115545632,0.7372776168804303,0.7321281840591619,0.7425,0.8662876395030533,0.8693998309382924,0.8631976500209819,0.7404021937842779
LightGBM,Original,Tuned,0.4,0.8824723737585676,0.8381244766955066,0.7458369851007888,0.7865064695009242,0.7091666666666666,0.8812448812448812,0.8604558176729308,0.9030633655056651,0.7233934036042162
LightGBM,Original,Tuned,0.45,0.8824723737585676,0.8442645827518839,0.7454379562043796,0.8235887096774194,0.6808333333333333,0.887816646562123,0.8521806252412196,0.9265631556861099,0.7052831491712708
LightGBM,Original,Tuned,0.5,0.8824723737585676,0.8439854870220486,0.7290353853611246,0.8713789107763615,0.6266666666666667,0.8904565941602979,0.8352941176470589,0.9534200587494754,0.6639590323150274
LightGBM,Original,Tuned,0.55,0.8824723737585676,0.8305888919899526,0.6833594157537819,0.9135285913528591,0.5458333333333333,0.8843589255096209,0.8098394975575716,0.9739823751573646,0.5936197208627877
LightGBM,Original,Tuned,0.6,0.8824723737585676,0.7892827239743232,0.541033434650456,1.0,0.37083333333333335,0.8632494113385256,0.7594008922880816,1.0,0.4242135367016206
LightGBM,Original,Tuned,0.65,0.8824723737585676,0.7446274072006698,0.3838383838383838,1.0,0.2375,0.8389368069001937,0.7225591267434809,1.0,0.28023598820059
CatBoost,Original,Baseline,0.35,0.8710837180025178,0.7298353335193971,0.672972972972973,0.5659090909090909,0.83,0.7698525915359011,0.8880965441579813,0.6793957196810743,0.7591463414634146
CatBoost,Original,Baseline,0.4,0.8710837180025178,0.7454646943901758,0.6797752808988764,0.587378640776699,0.8066666666666666,0.7887911069939787,0.8801033591731267,0.7146454049517414,0.750620347394541
CatBoost,Original,Baseline,0.45,0.8710837180025178,0.7599776723416132,0.6852122986822841,0.6109660574412533,0.78,0.8060442038791159,0.871282301316431,0.7498950902224087,0.7391029690461149
CatBoost,Original,Baseline,0.5,0.8710837180025178,0.7742115545632152,0.6941398865784499,0.6352941176470588,0.765,0.8210572882105729,0.8681010289990645,0.7788501888375997,0.7349879903923139
CatBoost,Original,Baseline,0.55,0.8710837180025178,0.7828635221881105,0.6970404984423676,0.6542397660818714,0.7458333333333333,0.8307959982601131,0.8623024830699775,0.8015107007973143,0.7255188067444877
CatBoost,Original,Baseline,0.6,0.8710837180025178,0.7912363940831705,0.6988727858293076,0.67601246105919,0.7233333333333334,0.8402392140111064,0.8555893866898652,0.8254301300881242,0.7133464825772519
CatBoost,Original,Baseline,0.65,0.8710837180025178,0.8026793190064192,0.7065172270651723,0.7038875103391232,0.7091666666666666,0.8513769182257725,0.8529907329401853,0.8497691984892992,0.708104509901814
CatBoost,Original,Tuned,0.35,0.8820357742341586,0.7993301702483951,0.7246265798544619,0.6704464918497519,0.7883333333333333,0.8421514818880351,0.8830570902394107,0.804867813680235,0.7615520850104653
CatBoost,Original,Tuned,0.4,0.8820357742341586,0.8141222439296679,0.7342378292098962,0.7044410413476263,0.7666666666666667,0.8570815450643777,0.8770311813790075,0.8380193033990768,0.7533573534228628
CatBoost,Original,Tuned,0.45,0.8820357742341586,0.8303097962601172,0.7436762225969646,0.7525597269624573,0.735,0.8731748018356279,0.8681045209456657,0.878304657994125,0.7384460817146684
CatBoost,Original,Tuned,0.5,0.8820357742341586,0.8347753279374825,0.7371225577264654,0.7889733840304183,0.6916666666666667,0.8795278795278795,0.8538127222441723,0.9068401174989509,0.7091592617908408
CatBoost,Original,Tuned,0.55,0.8820357742341586,0.8420318169132013,0.7345215759849906,0.8401287553648069,0.6525,0.8875645609853,0.8427008675971331,0.9374737725556022,0.6830076762037683
CatBoost,Original,Tuned,0.6,0.8820357742341586,0.8403572425341892,0.718503937007874,0.8774038461538461,0.6083333333333333,0.888585897935333,0.8291530352599055,0.9571968107427612,0.6480823863636364
